id,type,address,lat,lng,side,diameter,class,capacity,road,memo,access_from,blocked
H001,消火栓,西宮市甲子園一番町1-1,34.73155,135.37520,北,150,P,0,8,,,
H002,消火栓,西宮市甲子園一番町1-2,34.73130,135.37580,東,100,P,0,6,,,
H003,消火栓,西宮市甲子園一番町1-3,34.73095,135.37485,西,150,P,0,8,,,
H004,消火栓,西宮市甲子園一番町1-4,34.73190,135.37440,南,100,P,0,5,,,
H005,消火栓,西宮市甲子園一番町1-5,34.73220,135.37510,北,150,P,0,7,,,
H006,消火栓,西宮市甲子園一番町1-6,34.73100,135.37610,東,100,P,0,6,,,
H007,消火栓,西宮市甲子園一番町1-7,34.73055,135.37555,西,150,P,0,8,,,
H008,消火栓,西宮市甲子園一番町1-8,34.73255,135.37495,北,150,P,0,8,,,
H009,消火栓,西宮市甲子園一番町1-9,34.73280,135.37580,東,100,P,0,6,,,
H010,消火栓,西宮市甲子園一番町1-10,34.73180,135.37640,西,150,P,0,8,,,
H011,消火栓,西宮市甲子園一番町1-11,34.73090,135.37680,北,100,P,0,5,,,
H012,消火栓,西宮市甲子園一番町1-12,34.73010,135.37610,東,150,P,0,8,,,
H013,消火栓,西宮市甲子園一番町1-13,34.72980,135.37520,西,100,P,0,6,,,
H014,消火栓,西宮市甲子園一番町1-14,34.72990,135.37430,南,150,P,0,8,,,
H015,消火栓,西宮市甲子園一番町1-15,34.73070,135.37370,北,100,P,0,5,,,
H016,消火栓,西宮市甲子園一番町1-16,34.73170,135.37340,東,150,P,0,8,,,
H017,消火栓,西宮市甲子園一番町1-17,34.73260,135.37390,西,100,P,0,6,,,
H018,消火栓,西宮市甲子園一番町1-18,34.73310,135.37490,北,150,P,0,8,,,
H019,消火栓,西宮市甲子園一番町1-19,34.73300,135.37600,東,100,P,0,6,,,
H020,消火栓,西宮市甲子園一番町1-20,34.73230,135.37690,西,150,P,0,8,,,
H021,消火栓,西宮市甲子園一番町2-1,34.73140,135.37260,北,150,P,0,8,,,
H022,消火栓,西宮市甲子園一番町2-2,34.73060,135.37280,東,100,P,0,6,,,
H023,消火栓,西宮市甲子園一番町2-3,34.72980,135.37310,西,150,P,0,8,,,
H024,消火栓,西宮市甲子園一番町2-4,34.72920,135.37400,南,100,P,0,6,,,
H025,消火栓,西宮市甲子園一番町2-5,34.72890,135.37510,北,150,P,0,8,,,
H026,消火栓,西宮市甲子園一番町2-6,34.72940,135.37630,東,100,P,0,5,,,
H027,消火栓,西宮市甲子園一番町2-7,34.73020,135.37720,西,150,P,0,8,,,
H028,消火栓,西宮市甲子園一番町2-8,34.73130,135.37760,北,100,P,0,6,,,
H029,消火栓,西宮市甲子園一番町2-9,34.73240,135.37730,東,150,P,0,8,,,
H030,消火栓,西宮市甲子園一番町2-10,34.73320,135.37660,西,100,P,0,6,,,
H031,消火栓,西宮市甲子園一番町2-11,34.73370,135.37550,北,150,P,0,8,,,
H032,消火栓,西宮市甲子園一番町2-12,34.73350,135.37420,東,100,P,0,6,,,
H033,消火栓,西宮市甲子園一番町2-13,34.73290,135.37300,西,150,P,0,8,,,
H034,消火栓,西宮市甲子園一番町2-14,34.73190,135.37220,南,100,P,0,6,,,
H035,消火栓,西宮市甲子園一番町2-15,34.73090,135.37190,北,150,P,0,8,,,
H036,消火栓,西宮市甲子園一番町2-16,34.72990,135.37210,東,100,P,0,5,,,
H037,消火栓,西宮市甲子園一番町2-17,34.72890,135.37290,西,150,P,0,8,,,
H038,消火栓,西宮市甲子園一番町2-18,34.72840,135.37410,南,100,P,0,6,,,
H039,消火栓,西宮市甲子園一番町2-19,34.72870,135.37540,北,150,P,0,8,,,
H040,消火栓,西宮市甲子園一番町2-20,34.72960,135.37670,東,100,P,0,6,,,
C001,防火水槽,西宮市甲子園一番町3-1,34.73110,135.37550,北,0,T,40,8,40t,,
C002,防火水槽,西宮市甲子園一番町3-2,34.73230,135.37420,東,0,T,60,8,60t,,
C003,防火水槽,西宮市甲子園一番町3-3,34.73030,135.37360,西,0,T,100,10,100t,,
C004,防火水槽,西宮市甲子園一番町3-4,34.72960,135.37590,南,0,T,40,6,40t,,
C005,防火水槽,西宮市甲子園一番町3-5,34.73320,135.37620,北,0,T,60,8,60t,,
C006,防火水槽,西宮市甲子園一番町3-6,34.73280,135.37280,東,0,T,100,10,100t,,
C007,防火水槽,西宮市甲子園一番町3-7,34.72930,135.37270,西,0,T,40,6,40t,,
C008,防火水槽,西宮市甲子園一番町3-8,34.72880,135.37460,南,0,T,60,8,60t,,
C009,防火水槽,西宮市甲子園一番町3-9,34.73090,135.37720,北,0,T,100,10,100t,,
C010,防火水槽,西宮市甲子園一番町3-10,34.73370,135.37480,東,0,T,40,6,40t,,
